Evidence ID,Comparator title,Location,Period,RWF low,RWF high,Money source classification,Money source status,Verification label,Money source URL,Evidence grade,Evidence grade basis,Source warning
E14,Project Manager,"Kigali, Rwanda",month,2000000,3000000,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-project-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C22_P1.htm,C,Small employee-reported sample,
E15,Project Manager,"Nairobi, Kenya",month,817128,2814552,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/nairobi-project-manager-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm?utm_source=chatgpt.com,B,353-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
E16,Scrum Master,Kigali / Remote,month,3200000,4200000,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,Verified link; advertiser-entered posting,https://www.rwandajob.com/job-vacancies-rwanda/scrum-master-kigali-163251,D,Advertiser-entered job-board range,
E17,Project Manager,"Kigali, Rwanda",month,4200000,,Advertiser-entered job-board lower bound,"Linked RwandaJob posting; figure is a published lower bound, not a complete salary range.",Verified link; lower-bound posting,https://www.rwandajob.com/node/155680,D,Advertiser-entered lower bound,
E18,Supply Chain Engineer,Kigali / Remote,month,3200000,4200000,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,Verified link; advertiser-entered posting,https://www.rwandajob.com/job-vacancies-rwanda/supply-chain-engineer-kigali-172380,D,Advertiser-entered job-board range,
E19,General annotation,Worldwide remote,hour,21959,58557,Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,Verified numeric rate; platform guide,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E20,Prompt writing & RLHF evaluation,Worldwide remote,hour,29279,87836,Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,Verified numeric rate; platform guide,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E21,Domain-specific review,Worldwide remote,hour,73197,146393,Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,Verified numeric rate; platform guide,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E22,Generalist AI trainer,Remote; geography varies,hour,36598,51238,Platform-published rate directory,Linked DataAnnotation directory; published range is platform guidance and varies by eligibility and task access.,Verified numeric rate; platform directory,https://www.dataannotation.tech/language-directory,D,Platform-published rate directory; task access varies,
E23,Expert AI trainer,Remote; geography varies,hour,73197,146393,Platform-published rate directory,Linked DataAnnotation directory; published range is platform guidance and varies by eligibility and task access.,Verified numeric rate; platform directory,https://www.dataannotation.tech/language-directory,D,Platform-published rate directory; task access varies,
E24,Human Data Operations Manager,"San Francisco, USA",year,234228800,278146700,Official employer ATS,"Verified: official Cartesia ATS page lists compensation of USD 160,000–190,000.",Verified numeric pay; official ATS,https://jobs.ashbyhq.com/cartesia/c6fb67f7-076c-4141-82c8-f50214303ec0,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E25,Data Engine & Annotation Systems Engineer,US / Remote,year,175671600,226909150,Secondary job listing,"Secondary listing states a range, but the figure was not independently re-verified against the employer ATS.",Linked numeric claim; secondary listing,https://map.rezi.ai/jobs/job/35063087/data-engine-annotation-systems-engineer-at-simbe-robotics,D,Secondary listing citing an employer range,
E26,Robotics Data Collection Delivery Manager,Remote USA,year,175671600,263507400,Secondary listing citing employer range,Secondary listing cites an employer range; it is not the employer's primary ATS page.,Linked numeric claim; secondary listing,https://simplify.jobs/p/505cbe73-379b-4539-9049-85ed69aa1b69/Robotics-Data-Collection-Delivery-Manager,D,Secondary listing citing an employer range,
E27,Robotics Operations Manager,"Cambrai, France",year,76281444,101708592,Official employer ATS,"Verified: official Marso Robotics ATS page lists compensation of EUR 45,000–60,000.",Verified numeric pay; official ATS,https://jobs.ashbyhq.com/marsorobotics/82a24efa-3b3e-42e0-9464-ee6a230399d1,A,Employer-published compensation on official ATS; global role-scope comparator,International compensation and role scope; not a Rwanda salary benchmark.
E28,Human Data Operations Manager (contract),US remote,hour,51238,80516,Historical employer LinkedIn posting,Linked employer posting states USD 55/hour contract pay; listing status may change.,Verified numeric rate; historical posting,https://www.linkedin.com/jobs/view/human-data-operations-manager-%2455-hr-remote-at-crossing-hurdles-4437076424,D,Historical employer posting; contract rate,
E29,AI Data Annotation Lead,"Gauteng, South Africa",year,54241728,72322304,Third-party job-board salary range,Third-party listing states a salary range; it is not an employer payroll document.,Linked numeric claim; secondary listing,https://www.jobleads.com/za/job/ai-data-annotation-lead-talent-pool--gauteng--ecc6eb011208f211f803ddb9ea868f67b,D,Third-party job-board salary range,
E30,Data Specialist / robotics data annotation,"Redwood City, USA",hour,40990,46114,Employer/job-board posting,Linked Indeed job-board page carries a role-specific pay claim; direct job-page access may be blocked or expired.,Linked numeric claim; job board,https://www.indeed.com/q-data-labeling-specialist-jobs.html?jt=fulltime&vjk=698409edabea4412,D,Employer/job-board pay claim; direct access may be blocked,
E31,Outlier AI training contributor,Remote; project and country dependent,hour,14639,73196,Platform-published rate guide,"Verified: Outlier's guide states USD 10–50/hour and explains that pay varies by expertise, task, and location; hours are not guaranteed.",Verified numeric rate; official platform guide,https://outlier.ai/blog/your-guide-to-working-on-outlier?ajs=5d93d46d-3deb-4eb3-930e-c87104e95525,D,Platform-published rate guide; task access varies,"Platform rate varies by expertise, task, location, and access; hours are not guaranteed."
E32,Atlas Data Operations Annotation Manager,"Waltham, USA",year,168351950,204950200,Secondary employer/job-board index,Current Dice search index carries the role and salary range; the original direct job URL is stale.,Verified via current index; secondary job board,https://www.dice.com/jobs/q-atlas-l-cambridge%2C%2Bma-jobs,D,Secondary job-board index,
E33,Clinical Data Annotation Lead - Region 2,"San Carlos, USA",year,222517360,320015098,Official employer ATS,Verified: official Intuitive Surgical ATS page lists the Region 2 base-compensation range.,Verified numeric pay; official ATS,https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E34,Clinical Data Annotation Lead - Region 1,"San Carlos, USA",year,261750684,376522796,Official employer ATS,Verified: official Intuitive Surgical ATS page lists the Region 1 base-compensation range.,Verified numeric pay; official ATS,https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E35,"Data Operations Manager, Human Data","San Francisco, USA",year,395261100,534334450,Official employer ATS,Verified: official Anthropic ATS page lists the salary range for the role.,Verified numeric pay; official ATS,https://job-boards.greenhouse.io/anthropic/jobs/5238460008,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E36,AI Research Engineer - Data Infrastructure,"Palo Alto, USA",year,263507400,365982500,Secondary listing citing employer range,Secondary listing states a range; it is not the employer's primary careers page.,Linked numeric claim; secondary listing,https://jobs.type1ventures.com/companies/halodi-robotics/jobs/63214267-ai-research-engineer-data-infrastructure,D,Secondary listing citing an employer range,
E37,Data Quality Lead,United Kingdom,year,85424024,131590298,Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",Verified link; database evidence,https://www.glassdoor.co.uk/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
E38,Data Quality Lead,Canada,year,63885910,102636380,Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",Verified link; database evidence,https://www.glassdoor.ca/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
E39,Data Quality Lead,India,year,7672589,21099620,Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",Verified link; database evidence,https://www.glassdoor.co.in/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
E40,Data Annotation Supervisor,United States,year,96619380,183723215,Salary aggregation,"Linked ZipRecruiter title page; figure is an aggregation, not an employer-published salary.",Verified link; aggregation,https://www.ziprecruiter.com/Jobs/Data-Annotation-Supervisor,D,Salary aggregation,
E41,Data Quality Lead,United States,year,163212092,189883432,Salary survey estimate,Linked Salary.com estimate; survey/model output rather than a specific employer offer.,Verified link; survey estimate,https://www.salary.com/research/salary/listing/data-quality-lead-salary,D,Salary survey estimate,
E44,Data Annotator - AI model training,Kenya,year,80516150,139073350,Historical employer/job-board posting,Linked LinkedIn posting states a published range; listing is historical/closed.,Verified numeric pay; historical posting,https://ke.linkedin.com/jobs/view/data-annotator-remote-at-ai-jobs-4409167795,D,Historical employer/job-board posting,
E45,Data Annotation Lead,"San Francisco, USA",year,175671600,234228800,Secondary listing with stated range,Third-party listing states a range; it is not the employer's primary careers page.,Linked numeric claim; secondary listing,https://www.theladders.com/job/data-annotation-lead-physical-intelligence-san-francisco-ca_87539700?source=company,D,Secondary listing with stated range,
E46,Technical Operation Division Manager,Rwanda public sector,month,1085308,1085308,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E47,Senior ID System Administrator / System Integration Specialist,Rwanda public sector,month,786131,786131,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E48,Data Verification / Quality Assurance Officer,Rwanda public sector,month,540657,540657,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E49,"Data Observations, Quality Control and Processing Division Manager",Rwanda public sector,month,1085308,1085308,Official public-sector gazette,Verified: official Meteo Rwanda structure publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,A,Official public-sector gazette,
E50,Data Quality Control Specialist / Big Data Specialist,Rwanda public sector,month,786131,786131,Official public-sector gazette,Verified: official Meteo Rwanda structure publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,A,Official public-sector gazette,
E51,Data Management Specialist,Rwanda public sector,month,786131,786131,Official public-sector gazette,Verified: official gazette publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/Special_of_26.09.2018.pdf,A,Official public-sector gazette,
E52,Senior Engineer / Database and Application Specialist,Rwanda public sector,month,982663,982663,Official public-sector gazette,Verified: official gazette publishes the gross monthly figure for the role.,Verified numeric pay; official gazette,https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/OG_N0_Special_of_07-08-2018_Final1__1_.pdf,A,Official public-sector gazette,
