Evidence ID,Role family,Comparator title,Location,Market class,Evidence type,Seniority,Compensation type,Period,Low RWF,Midpoint RWF,High RWF,Normalized low RWF/month,Normalized midpoint RWF/month,Normalized high RWF/month,Evidence quality,Source date,Sample / scope,Source URL,Notes,Conversion basis,Money source classification,Money source status,Money source URL,Evidence grade,Evidence grade basis,Source warning
E11,Technician / field / UAV operations,Technician Operator (UAV),"Kigali, Rwanda",Rwanda market,Job-post range,2–5 years,Employer-stated range,month,500000,600000,700000,500000,600000,700000,Medium,2025-11,5 positions,https://www.rwandajob.com/job-vacancies-rwanda/technician-operator-nyarugenge-umujyi-wa-kigali-rwanda-141441,Page also lists a different salary-expectation field (600k–850k); this row uses the explicit compensation section. Native RWF figure.,RWF native,Job-board range,Linked RwandaJob posting; numeric field is a job-board figure and not an audited payroll record.,https://www.rwandajob.com/job-vacancies-rwanda/technician-operator-nyarugenge-umujyi-wa-kigali-rwanda-141441,D,Job-board range,
E12,Lead / supervisor / operations management,Operations Manager,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Total pay,month,437000,2100000,2400000,437000,2100000,2400000,Medium,2024-04-05,5 salaries; source marks High Confidence,https://www.glassdoor.com/Salaries/kigali-operations-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C25.htm,Wide local dispersion. Use midpoint and company-level examples carefully. Native RWF figure.,RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-operations-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C25.htm,C,Small employee-reported sample,
E13,Lead / supervisor / operations management,Operations Manager,"Nairobi, Kenya",East Africa comparator,Employee-reported salary database,All levels,Total pay,month,964665,1713699,3790566,964665,1713699,3790566,High,2025-06-19,152 salaries; Very High Confidence,https://www.glassdoor.com/Salaries/nairobi-operations-manager-salary-SRCH_IL.0%2C7_IM1085_KO8%2C26_IP4.htm?utm_source=chatgpt.com,Strong regional management comparator; Nairobi cost-of-labor differs from Kigali. Converted to RWF using 11.349 RWF/KES; reference date 2026-08-04. Source currency and original figure remain in the unmodified input file.,KES -> RWF @ 11.349 (2026-08-04),Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/nairobi-operations-manager-salary-SRCH_IL.0%2C7_IM1085_KO8%2C26_IP4.htm?utm_source=chatgpt.com,B,152-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
E14,Technical project / program delivery,Project Manager,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Total pay,month,2000000,2600000,3000000,2000000,2600000,3000000,Medium,2026-08 crawl,17 company results; underlying data mixed,https://www.glassdoor.com/Salaries/kigali-project-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C22_P1.htm,Displayed monthly panel used; role family is broad and includes nontechnical projects. Native RWF figure.,RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-project-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C22_P1.htm,C,Small employee-reported sample,
E15,Technical project / program delivery,Project Manager,"Nairobi, Kenya",East Africa comparator,Employee-reported salary database,All levels,Total pay,month,817128,1498068,2814552,817128,1498068,2814552,High,2026-06-06,353 salaries; Very High Confidence,https://www.glassdoor.com/Salaries/nairobi-project-manager-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm?utm_source=chatgpt.com,Strong regional project-management comparator; not specific to AI/data. Converted to RWF using 11.349 RWF/KES; reference date 2026-08-04. Source currency and original figure remain in the unmodified input file.,KES -> RWF @ 11.349 (2026-08-04),Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/nairobi-project-manager-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm?utm_source=chatgpt.com,B,353-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
E16,Technical project / agile delivery,Scrum Master,Kigali / Remote,Rwanda market,Advertiser-entered job-post range,5+ years / lead,Salary expectations,month,3200000,3700000,4200000,3200000,3700000,4200000,Medium,2026-08 crawl,25 positions; team management,https://www.rwandajob.com/job-vacancies-rwanda/scrum-master-kigali-163251,Comparable delivery/leadership scope; anonymous employer and board-entered pay. Native RWF figure.,RWF native,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,https://www.rwandajob.com/job-vacancies-rwanda/scrum-master-kigali-163251,D,Advertiser-entered job-board range,
E17,Technical project / program delivery,Project Manager,"Kigali, Rwanda",Rwanda market,Advertiser-entered job-post lower bound,5+ years / lead,Salary expectations,month,4200000,,,4200000,,,Low,2026-08 crawl,15 positions; >4.2M stated,https://www.rwandajob.com/node/155680,Lower bound only; anonymous employer and a broad role. Native RWF figure.,RWF native,Advertiser-entered job-board lower bound,"Linked RwandaJob posting; figure is a published lower bound, not a complete salary range.",https://www.rwandajob.com/node/155680,D,Advertiser-entered lower bound,
E18,Operations engineering / planning,Supply Chain Engineer,Kigali / Remote,Rwanda market,Advertiser-entered job-post range,5+ years / lead,Salary expectations,month,3200000,3700000,4200000,3200000,3700000,4200000,Low,2026-08 crawl,25 positions; team management,https://www.rwandajob.com/job-vacancies-rwanda/supply-chain-engineer-kigali-172380,Adjacent operations-engineering evidence; not a direct ML-data role. Native RWF figure.,RWF native,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,https://www.rwandajob.com/job-vacancies-rwanda/supply-chain-engineer-kigali-172380,D,Advertiser-entered job-board range,
E19,Remote AI-data contract work,General annotation,Worldwide remote,Global contract market,Platform-published guide,Generalist,Typical project rate,hour,21959,40258,58557,,,,Medium,2026-05-14,Platform guide; project-specific,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,"Contract/task rates, not salary; hours and project availability are not guaranteed. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E20,Remote AI-data contract work,Prompt writing & RLHF evaluation,Worldwide remote,Global contract market,Platform-published guide,Skilled generalist,Typical project rate,hour,29279,58557,87836,,,,Medium,2026-05-14,Platform guide; project-specific,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,"Contract/task rates, not salary. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E21,Remote AI-data contract work,Domain-specific review,Worldwide remote,Global contract market,Platform-published guide,Domain expert,Typical project rate,hour,73197,109795,146393,,,,Medium,2026-05-14,Platform guide; project-specific,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,"Contract/task rates, not salary. Requires verified expertise. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Platform-published rate guide,Verified: micro1 publishes a task/role rate guide; access and hours are not guaranteed employee salary.,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs,D,Platform-published rate guide; access and hours vary,
E22,Remote AI-data contract work,Generalist AI trainer,Remote; geography varies,Global contract market,Platform-published directory,Generalist,Starting/project rate,hour,36598,43918,51238,,,,Medium,2026-08 crawl,Official directory; project/geography dependent,https://www.dataannotation.tech/language-directory,"Remote contract rate, not salary; applicant country eligibility may vary. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Platform-published rate directory,Linked DataAnnotation directory; published range is platform guidance and varies by eligibility and task access.,https://www.dataannotation.tech/language-directory,D,Platform-published rate directory; task access varies,
E23,Remote AI-data contract work,Expert AI trainer,Remote; geography varies,Global contract market,Platform-published directory,Expert,Starting/project rate,hour,73197,109795,146393,,,,Medium,2026-08 crawl,Official directory; project/geography dependent,https://www.dataannotation.tech/language-directory,"Remote contract rate, not salary. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Platform-published rate directory,Linked DataAnnotation directory; published range is platform guidance and varies by eligibility and task access.,https://www.dataannotation.tech/language-directory,D,Platform-published rate directory; task access varies,
E24,Global role-value comparator,Human Data Operations Manager,"San Francisco, USA",Global scope only,Official employer ATS,Manager,Base salary range,year,234228800,256187750,278146700,19519067,21348979,23178892,High,2026-08 crawl,Official active role; equity offered,https://jobs.ashbyhq.com/cartesia/c6fb67f7-076c-4141-82c8-f50214303ec0,Role-scope evidence for scaled human-data/evaluation operations. Not a Rwanda salary benchmark. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.,USD -> RWF @ 1463.93 (2026-08-06),Official employer ATS,"Verified: official Cartesia ATS page lists compensation of USD 160,000–190,000.",https://jobs.ashbyhq.com/cartesia/c6fb67f7-076c-4141-82c8-f50214303ec0,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E25,Global role-value comparator,Data Engine & Annotation Systems Engineer,US / Remote,Global scope only,Secondary job listing,Engineer,Base salary range,year,175671600,201290375,226909150,14639300,16774198,18909096,Medium,2026-08 crawl,"3+ years; Python, data tooling, annotation systems",https://map.rezi.ai/jobs/job/35063087/data-engine-annotation-systems-engineer-at-simbe-robotics,"Strong scope match for ML data ops, annotation systems, QA, synthetic data. Geography is not comparable. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",USD -> RWF @ 1463.93 (2026-08-06),Secondary job listing,"Secondary listing states a range, but the figure was not independently re-verified against the employer ATS.",https://map.rezi.ai/jobs/job/35063087/data-engine-annotation-systems-engineer-at-simbe-robotics,D,Secondary listing citing an employer range,
E26,Global role-value comparator,Robotics Data Collection Delivery Manager,Remote USA,Global scope only,Secondary listing citing employer range,Manager,Base salary range,year,175671600,219589500,263507400,14639300,18299125,21958950,Medium,2026-06-29,5+ years; data collection/program management,https://simplify.jobs/p/505cbe73-379b-4539-9049-85ed69aa1b69/Robotics-Data-Collection-Delivery-Manager,Strong role-value comparator for robotics data delivery and workforce programs; not a local benchmark. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.,USD -> RWF @ 1463.93 (2026-08-06),Secondary listing citing employer range,Secondary listing cites an employer range; it is not the employer's primary ATS page.,https://simplify.jobs/p/505cbe73-379b-4539-9049-85ed69aa1b69/Robotics-Data-Collection-Delivery-Manager,D,Secondary listing citing an employer range,
E27,Global role-value comparator,Robotics Operations Manager,"Cambrai, France",Global scope only,Official employer ATS,Manager,Base salary range,year,76281444,88995018,101708592,6356787,7416252,8475716,High,2026-08 crawl,"3–4 years; robot ops, testing, data quality",https://jobs.ashbyhq.com/marsorobotics/82a24efa-3b3e-42e0-9464-ee6a230399d1,"Shows market value of operational ownership around robotics, testing, technicians and data quality. Converted to RWF using 1695.1432 RWF/EUR; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.",EUR -> RWF @ 1695.1432 (2026-08-06),Official employer ATS,"Verified: official Marso Robotics ATS page lists compensation of EUR 45,000–60,000.",https://jobs.ashbyhq.com/marsorobotics/82a24efa-3b3e-42e0-9464-ee6a230399d1,A,Employer-published compensation on official ATS; global role-scope comparator,International compensation and role scope; not a Rwanda salary benchmark.
E28,Global role-value comparator,Human Data Operations Manager (contract),US remote,Global scope only,Employer LinkedIn posting,Early career / manager,Hourly contract,hour,51238,65877,80516,,,,Medium,2026-07,10–40 hours/week,https://www.linkedin.com/jobs/view/human-data-operations-manager-%2455-hr-remote-at-crossing-hurdles-4437076424,Contract comparator only; location restricted to the US. Converted to RWF using 1463.93 RWF/USD; reference date 2026-08-06. Source currency and original figure remain in the unmodified input file.,USD -> RWF @ 1463.93 (2026-08-06),Historical employer LinkedIn posting,Linked employer posting states USD 55/hour contract pay; listing status may change.,https://www.linkedin.com/jobs/view/human-data-operations-manager-%2455-hr-remote-at-crossing-hurdles-4437076424,D,Historical employer posting; contract rate,
E29,Lead / supervisor / workforce operations,AI Data Annotation Lead,"Gauteng, South Africa",African comparator,Third-party job-board salary range,Lead,Base salary range,year,54241728,63282016,72322304,4520144,5273501,6026859,Medium,2026-08 access,Exact lead title; 4+ years annotation/QA and 2+ years leadership requested,https://www.jobleads.com/za/job/ai-data-annotation-lead-talent-pool--gauteng--ecc6eb011208f211f803ddb9ea868f67b,Direct role-family match. JobLeads listing; not a Rwanda salary and not an audited employer payroll record.,ZAR -> RWF @ 90.4029 (USD/ZAR cross-rate from RBZ 2026-08-14; USD/RWF 1463.93),Third-party job-board salary range,Third-party listing states a salary range; it is not an employer payroll document.,https://www.jobleads.com/za/job/ai-data-annotation-lead-talent-pool--gauteng--ecc6eb011208f211f803ddb9ea868f67b,D,Third-party job-board salary range,
E30,Data labeling specialist / senior IC,Data Specialist / robotics data annotation,"Redwood City, USA",Remote contractor / platform rate,Employer/job-board posting,Specialist / IC,Hourly rate; not monthlyized,hour,40990,43552,46114,,,,Medium,2026-08 access,"Robotics data collection, annotation, QC, terminal use, and documentation",https://www.indeed.com/q-data-labeling-specialist-jobs.html?jt=fulltime&vjk=698409edabea4412,The listing states $28-$31.50/hour. Kept hourly because the source does not provide guaranteed monthly hours; not converted to employee monthly pay.,USD -> RWF @ 1463.9300 (USD/RWF published rate),Employer/job-board posting,Linked Indeed job-board page carries a role-specific pay claim; direct job-page access may be blocked or expired.,https://www.indeed.com/q-data-labeling-specialist-jobs.html?jt=fulltime&vjk=698409edabea4412,D,Employer/job-board pay claim; direct access may be blocked,
E31,AI training / evaluation,Outlier AI training contributor,Remote; project and country dependent,Remote contractor / platform rate,Platform-published rate guide,Expert / contractor,Hourly rate; not monthlyized,hour,14639,43918,73196,,,,Medium,2026-08 access,"Rate varies by expertise, project complexity, and location; weekly payment stated",https://outlier.ai/blog/your-guide-to-working-on-outlier?ajs=5d93d46d-3deb-4eb3-930e-c87104e95525,Official platform guide. The task rate is shown before a project starts; no guaranteed hours and no employee-salary equivalence.,USD -> RWF @ 1463.9300 (USD/RWF published rate),Platform-published rate guide,"Verified: Outlier's guide states USD 10–50/hour and explains that pay varies by expertise, task, and location; hours are not guaranteed.",https://outlier.ai/blog/your-guide-to-working-on-outlier?ajs=5d93d46d-3deb-4eb3-930e-c87104e95525,D,Platform-published rate guide; task access varies,"Platform rate varies by expertise, task, location, and access; hours are not guaranteed."
E32,Lead / supervisor / workforce operations,Atlas Data Operations Annotation Manager,"Waltham, USA",Global robotics comparator,Employer/job-board salary range,Manager,Base salary range,year,168351950,186651075,204950200,14029329,15554256,17079183,Medium,2026-08 access,"Manages annotation leads and QA leads; owns quality metrics, vendors, SOPs, forecasting, and continuous improvement",https://www.dice.com/jobs/q-atlas-l-cambridge%2C%2Bma-jobs,"Strong direct responsibility match for supervision, QA, vendor coordination, operational metrics, and robotics data quality.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Secondary employer/job-board index,Current Dice search index carries the role and salary range; the original direct job URL is stale.,https://www.dice.com/jobs/q-atlas-l-cambridge%2C%2Bma-jobs,D,Secondary job-board index,
E33,Lead / supervisor / workforce operations,Clinical Data Annotation Lead - Region 2,"San Carlos, USA",Global robotics / health AI comparator,Official employer ATS salary range,Lead,Base salary range,year,222517360,271266229,320015098,18543113,22605519,26667925,Medium,2026-08 access,"Leads distributed annotators; designs pipelines; owns QA/QC, vendors, tooling requirements, and ML collaboration",https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,"Official Intuitive Surgical posting. Region 2 range; region-based US pay, not a Rwanda benchmark.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Official employer ATS,Verified: official Intuitive Surgical ATS page lists the Region 2 base-compensation range.,https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E34,Lead / supervisor / workforce operations,Clinical Data Annotation Lead - Region 1,"San Carlos, USA",Global robotics / health AI comparator,Official employer ATS salary range,Lead,Base salary range,year,261750684,319136740,376522796,21812557,26594728,31376900,Medium,2026-08 access,"Leads distributed annotators; designs pipelines; owns QA/QC, vendors, tooling requirements, and ML collaboration",https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,"Official Intuitive Surgical posting. Region 1 range; region-based US pay, not a Rwanda benchmark.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Official employer ATS,Verified: official Intuitive Surgical ATS page lists the Region 1 base-compensation range.,https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E35,Technical data operations / engineering,"Data Operations Manager, Human Data","San Francisco, USA",Global AI comparator,Official employer ATS salary range,Manager,Base salary range,year,395261100,464797775,534334450,32938425,38733148,44527871,Medium,2026-08 access,"Owns data strategy, vendor partnerships, data pipelines, evaluation frameworks, quality standards, and cross-functional delivery",https://job-boards.greenhouse.io/anthropic/jobs/5238460008,Official Anthropic posting. Frontier-AI manager scope; not a local salary band.,USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Official employer ATS,Verified: official Anthropic ATS page lists the salary range for the role.,https://job-boards.greenhouse.io/anthropic/jobs/5238460008,A,Employer-published compensation on official ATS; US role-scope comparator,US compensation and role scope; not a Rwanda salary benchmark.
E36,Technical data operations / engineering,AI Research Engineer - Data Infrastructure,"Palo Alto, USA",Global robotics comparator,Secondary listing citing employer range,Engineer,Base salary range,year,263507400,314744950,365982500,21958950,26228746,30498542,Medium,2026-08 access,"Robotic-fleet data engine, ETL, data collection optimization, annotation tooling, and automated dataset organization",https://jobs.type1ventures.com/companies/halodi-robotics/jobs/63214267-ai-research-engineer-data-infrastructure,"Role-value comparator for data infrastructure, robotics fleets, annotation tooling, and ML-ready data; source is a secondary job board.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Secondary listing citing employer range,Secondary listing states a range; it is not the employer's primary careers page.,https://jobs.type1ventures.com/companies/halodi-robotics/jobs/63214267-ai-research-engineer-data-infrastructure,D,Secondary listing citing an employer range,
E37,Data quality / QA,Data Quality Lead,United Kingdom,Global role-family comparator,Employee-reported salary database,Lead,Base salary range,year,85424024,108507161,131590298,7118669,9042263,10965858,Medium,2026-06,12 salaries shown; Glassdoor typical range for the role family,https://www.glassdoor.co.uk/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,Role-family evidence only. Anonymous salary submissions; not an employer band and not a Rwanda benchmark.,GBP -> RWF @ 1977.8200 (GBP/RWF @ 1977.82; Wise historical rate 2026-08-05),Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",https://www.glassdoor.co.uk/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
E38,Data quality / QA,Data Quality Lead,Canada,Global role-family comparator,Employee-reported salary database,Lead,Base salary range,year,63885910,83261145,102636380,5323826,6938429,8553032,Medium,2026-06,33 salaries shown; Glassdoor base-pay range,https://www.glassdoor.ca/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,Role-family evidence only. Anonymous salary submissions; not an employer band and not a Rwanda benchmark.,CAD -> RWF @ 1047.3100 (CAD/RWF @ 1047.31; Exchange-Rates.org 2026-08-05),Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",https://www.glassdoor.ca/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
